Category,Term
string,word
string,phrase
string,string
string,set of characters
string,characters
list,brackets
list,set of brackets
list,set
list,list
list,array
list,sequence array
return,output
return,return
return,print
return,produce
return,display
return,provides
return,gives
input,parameter
input,input
input,argument
input,takes
input,value provided
input,enter
input,brings in
input,given
input,passed
input,intake
input,accept
input,refer to
input,intake
input,gets
input,receives
concatenate,add
concatenate,insert
concatenate,combine
concatenate,splice
concatenate,attach
concatenate,concatenate
concatenate,append
concatenate,put together
loop,go through
loop,run through
loop,iterate through
loop,loop through
loop,move through
loop,run a for loop through
loop,looks through
loop,executes a for loop
loop,loops over
skip,avoid
skip,neglect
skip,ignore
skip,remove
skip,skip
dictionary,map
dictionary,dictionary
dictionary,array
dictionary,list of keys and values
sort,reorder
sort,rearrange
sort,sort
sort,arrange in order
sort,put in order
sort,organize
item,item
item,entry
item,element
reverse,flip backwards
reverse,flip
reverse,reverse
key,key
key,item
key,entry
key,attribute
key,part
key,element
key,parameter
key,variable
value,value
value,entry
typecast,convert
typecast,cast
typecast,change
typecast,turn into
typecast,type cast
typecast,typecast
typecast,treat as
inner list,internal list
inner list,sublist
inner list,inside list
inner list,nested list
inner list,innermost list
replace,replace
replace,rewrite
replace,substitute
replace,change
replace,swap
integer,integer
integer,whole number
integer,int
integer,number without decimal
integer,non-decimal
float,decimal number
float,float
float,point value
float,double
remove,remove
remove,cut off
remove,take out