Dataset,Original_Pass@1,Updated_Pass@1,NumProblems,Delta_Pass@1
generations_all.prompts.full.label.d2c1570_concatenate_add,0.5025,0.3325,20,-0.1700
generations_all.prompts.full.label.d2c1570_concatenate_combine,0.4638,0.4086,29,-0.0552
generations_all.prompts.full.label.d2c1570_concatenate_concatenate,0.4800,0.5240,25,0.0440
generations_all.prompts.full.label.d2c1570_concatenate_splice,0.4565,0.4597,31,0.0032
generations_all.prompts.full.label.d2c1570_dictionary_dictionary,0.9000,0.6000,2,-0.3000
generations_all.prompts.full.label.d2c1570_dictionary_map,0.4885,0.4894,52,0.0010
generations_all.prompts.full.label.d2c1570_insert_add,0.8400,0.7300,5,-0.1100
generations_all.prompts.full.label.d2c1570_insert_append,0.5680,0.4640,25,-0.1040
generations_all.prompts.full.label.d2c1570_insert_attach,0.6086,0.5690,29,-0.0397
generations_all.prompts.full.label.d2c1570_insert_insert,0.6086,0.5397,29,-0.0690
generations_all.prompts.full.label.d2c1570_integer_int,0.4811,0.5676,74,0.0865
generations_all.prompts.full.label.d2c1570_integer_integer,0.5667,0.5833,9,0.0167
generations_all.prompts.full.label.d2c1570_integer_whole_number,0.5026,0.5329,76,0.0303
generations_all.prompts.full.label.d2c1570_key_attribute,0.4293,0.4720,41,0.0427
generations_all.prompts.full.label.d2c1570_key_element,0.4293,0.4976,41,0.0683
generations_all.prompts.full.label.d2c1570_key_entry,0.4293,0.5366,41,0.1073
generations_all.prompts.full.label.d2c1570_key_item,0.4293,0.5524,41,0.1232
generations_all.prompts.full.label.d2c1570_key_key,0.1500,0.2000,2,0.0500
generations_all.prompts.full.label.d2c1570_key_part,0.4293,0.5159,41,0.0866
generations_all.prompts.full.label.d2c1570_key_variable,0.4293,0.5024,41,0.0732
generations_all.prompts.full.label.d2c1570_list_array,0.5890,0.6088,222,0.0198
generations_all.prompts.full.label.d2c1570_list_array_list,0.5901,0.6273,227,0.0372
generations_all.prompts.full.label.d2c1570_list_brackets,0.5869,0.4895,229,-0.0974
generations_all.prompts.full.label.d2c1570_list_list,0.5389,0.5750,18,0.0361
generations_all.prompts.full.label.d2c1570_list_set,0.5869,0.3566,229,-0.2303
generations_all.prompts.full.label.d2c1570_list_set_of_brackets,0.5869,0.3644,229,-0.2225
generations_all.prompts.full.label.d2c1570_loop_through_execute_a_for_loop_with,0.5750,0.5227,22,-0.0523
generations_all.prompts.full.label.d2c1570_loop_through_go_through,0.5575,0.5700,20,0.0125
generations_all.prompts.full.label.d2c1570_loop_through_iterate_through,0.5333,0.4639,18,-0.0694
generations_all.prompts.full.label.d2c1570_loop_through_look_through,0.5800,0.5600,20,-0.0200
generations_all.prompts.full.label.d2c1570_loop_through_loop_through,0.6250,0.5528,18,-0.0722
generations_all.prompts.full.label.d2c1570_loop_through_run_a_for_loop_through,0.5750,0.5045,22,-0.0705
generations_all.prompts.full.label.d2c1570_loop_through_run_through,0.5875,0.6150,20,0.0275
generations_all.prompts.full.label.d2c1570_parameter_argument,0.5044,0.5631,80,0.0588
generations_all.prompts.full.label.d2c1570_parameter_input,0.4967,0.5733,30,0.0767
generations_all.prompts.full.label.d2c1570_parameter_parameter,0.5029,0.5621,70,0.0593
generations_all.prompts.full.label.d2c1570_parameter_value_provided,0.5128,0.5994,82,0.0866
generations_all.prompts.full.label.d2c1570_provide_enter,0.6000,0.7167,3,0.1167
generations_all.prompts.full.label.d2c1570_provide_input,0.6200,0.8400,5,0.2200
generations_all.prompts.full.label.d2c1570_provide_provide,0.6125,0.7437,8,0.1312
generations_all.prompts.full.label.d2c1570_return_display,0.5959,0.4650,230,-0.1309
generations_all.prompts.full.label.d2c1570_return_output,0.5986,0.5920,207,-0.0065
generations_all.prompts.full.label.d2c1570_return_print,0.6002,0.2383,227,-0.3619
generations_all.prompts.full.label.d2c1570_return_produce,0.5952,0.5941,227,-0.0011
generations_all.prompts.full.label.d2c1570_return_return,0.5284,0.6014,37,0.0730
generations_all.prompts.full.label.d2c1570_skip_avoid,0.4938,0.5687,8,0.0750
generations_all.prompts.full.label.d2c1570_skip_ignore,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_skip_neglect,0.4938,0.5750,8,0.0812
generations_all.prompts.full.label.d2c1570_skip_remove,0.4938,0.3063,8,-0.1875
generations_all.prompts.full.label.d2c1570_skip_skip,0.4938,0.5812,8,0.0875
generations_all.prompts.full.label.d2c1570_string_character,0.5305,0.5063,159,-0.0242
generations_all.prompts.full.label.d2c1570_string_phrase,0.5305,0.5447,159,0.0142
generations_all.prompts.full.label.d2c1570_string_set_of_characters,0.5305,0.4572,159,-0.0733
generations_all.prompts.full.label.d2c1570_string_string,0.4571,0.4214,21,-0.0357
generations_all.prompts.full.label.d2c1570_string_word,0.5423,0.5658,149,0.0235
generations_all.prompts.full.label.d2c1570_take_accept,0.5781,0.6571,98,0.0791
generations_all.prompts.full.label.d2c1570_take_bring_in,0.5835,0.6469,97,0.0634
generations_all.prompts.full.label.d2c1570_take_get,0.5813,0.6632,91,0.0819
generations_all.prompts.full.label.d2c1570_take_input,0.5885,0.6526,96,0.0641
generations_all.prompts.full.label.d2c1570_take_take,0.4809,0.5404,47,0.0596
generations_all.prompts.full.label.d2c1570_typecast_cast,0.4187,0.4500,16,0.0313
generations_all.prompts.full.label.d2c1570_typecast_change,0.5357,0.5714,14,0.0357
generations_all.prompts.full.label.d2c1570_typecast_convert,0.2500,0.4187,8,0.1688
generations_all.prompts.full.label.d2c1570_typecast_type_cast,0.4375,0.4875,16,0.0500
generations_all.prompts.full.label.d2c1570_typecast_typecast,0.4688,0.5437,16,0.0750