Dataset,Target_Orig_Word,Original_Pass@1,Updated_Pass@1,NumProblems,Delta_Pass@1
generations_all.prompts.full.label.d2c1570_loop_through_loop_through,execute a for loop with,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_loop_through_run_a_for_loop_through,go through,0.8500,0.6750,2,-0.1750
generations_all.prompts.full.label.d2c1570_loop_through_run_a_for_loop_through,run through,0.2500,0.4000,2,0.1500
generations_all.prompts.full.label.d2c1570_loop_through_run_a_for_loop_through,iterate through,0.8000,0.7250,4,-0.0750
generations_all.prompts.full.label.d2c1570_loop_through_run_a_for_loop_through,loop through,0.3200,0.2900,5,-0.0300
generations_all.prompts.full.label.d2c1570_loop_through_run_a_for_loop_through,run a for loop through,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_loop_through_run_a_for_loop_through,look through,0.6500,0.5500,2,-0.1000
generations_all.prompts.full.label.d2c1570_loop_through_run_a_for_loop_through,execute a for loop with,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_loop_through_run_through,go through,0.8500,0.9500,2,0.1000
generations_all.prompts.full.label.d2c1570_loop_through_run_through,run through,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_loop_through_run_through,iterate through,0.8000,0.8250,4,0.0250
generations_all.prompts.full.label.d2c1570_loop_through_run_through,loop through,0.3200,0.3500,5,0.0300
generations_all.prompts.full.label.d2c1570_loop_through_run_through,run a for loop through,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_loop_through_run_through,look through,0.6500,0.5750,2,-0.0750
generations_all.prompts.full.label.d2c1570_loop_through_run_through,execute a for loop with,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_parameter_argument,parameter,0.6833,0.7100,15,0.0267
generations_all.prompts.full.label.d2c1570_parameter_argument,argument,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_parameter_argument,value provided,0.0000,0.0000,1,0.0000
generations_all.prompts.full.label.d2c1570_parameter_argument,input,0.5759,0.5543,58,-0.0216
generations_all.prompts.full.label.d2c1570_parameter_input,parameter,0.6833,0.7133,15,0.0300
generations_all.prompts.full.label.d2c1570_parameter_input,argument,0.9500,0.9500,2,0.0000
generations_all.prompts.full.label.d2c1570_parameter_input,value provided,0.0000,0.0000,1,0.0000
generations_all.prompts.full.label.d2c1570_parameter_input,input,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_parameter_parameter,parameter,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_parameter_parameter,argument,0.9500,0.9250,2,-0.0250
generations_all.prompts.full.label.d2c1570_parameter_parameter,value provided,0.0000,0.0000,1,0.0000
generations_all.prompts.full.label.d2c1570_parameter_parameter,input,0.5759,0.5759,58,0.0000
generations_all.prompts.full.label.d2c1570_parameter_value_provided,parameter,0.6833,0.6933,15,0.0100
generations_all.prompts.full.label.d2c1570_parameter_value_provided,argument,0.9500,1.0000,2,0.0500
generations_all.prompts.full.label.d2c1570_parameter_value_provided,value provided,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_parameter_value_provided,input,0.5759,0.5966,58,0.0207
generations_all.prompts.full.label.d2c1570_provide_enter,provide,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_provide_enter,enter,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_provide_enter,input,0.6500,0.7167,3,0.0667
generations_all.prompts.full.label.d2c1570_provide_input,provide,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_provide_input,enter,1.0000,1.0000,1,0.0000
generations_all.prompts.full.label.d2c1570_provide_input,input,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_provide_provide,provide,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_provide_provide,enter,1.0000,1.0000,1,0.0000
generations_all.prompts.full.label.d2c1570_provide_provide,input,0.6500,0.5833,3,-0.0667
generations_all.prompts.full.label.d2c1570_return_display,return,0.6302,0.4954,164,-0.1348
generations_all.prompts.full.label.d2c1570_return_display,output,0.5400,0.3780,25,-0.1620
generations_all.prompts.full.label.d2c1570_return_display,print,0.5000,0.6250,4,0.1250
generations_all.prompts.full.label.d2c1570_return_display,produce,0.5000,0.5000,2,0.0000
generations_all.prompts.full.label.d2c1570_return_display,display,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_return_output,return,0.6302,0.6064,164,-0.0238
generations_all.prompts.full.label.d2c1570_return_output,output,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_return_output,print,0.5000,0.6000,4,0.1000
generations_all.prompts.full.label.d2c1570_return_output,produce,0.5000,0.5000,2,0.0000
generations_all.prompts.full.label.d2c1570_return_output,display,0.1000,0.0500,1,-0.0500
generations_all.prompts.full.label.d2c1570_return_print,return,0.6302,0.2713,164,-0.3588
generations_all.prompts.full.label.d2c1570_return_print,output,0.5400,0.1760,25,-0.3640
generations_all.prompts.full.label.d2c1570_return_print,print,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_return_print,produce,0.5000,0.5000,2,0.0000
generations_all.prompts.full.label.d2c1570_return_print,display,0.1000,0.0500,1,-0.0500
generations_all.prompts.full.label.d2c1570_return_produce,return,0.6302,0.6140,164,-0.0162
generations_all.prompts.full.label.d2c1570_return_produce,output,0.5400,0.5580,25,0.0180
generations_all.prompts.full.label.d2c1570_return_produce,print,0.5000,0.5750,4,0.0750
generations_all.prompts.full.label.d2c1570_return_produce,produce,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_return_produce,display,0.1000,0.0000,1,-0.1000
generations_all.prompts.full.label.d2c1570_return_return,return,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_return_return,output,0.5400,0.5760,25,0.0360
generations_all.prompts.full.label.d2c1570_return_return,print,0.5000,0.5500,4,0.0500
generations_all.prompts.full.label.d2c1570_return_return,produce,0.5000,0.5000,2,0.0000
generations_all.prompts.full.label.d2c1570_return_return,display,0.1000,0.0000,1,-0.1000
generations_all.prompts.full.label.d2c1570_skip_avoid,skip,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_skip_avoid,avoid,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_skip_avoid,neglect,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_skip_avoid,ignore,0.5500,0.5687,8,0.0187
generations_all.prompts.full.label.d2c1570_skip_avoid,remove,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_skip_ignore,skip,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_skip_ignore,avoid,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_skip_ignore,neglect,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_skip_ignore,ignore,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_skip_ignore,remove,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_skip_neglect,skip,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_skip_neglect,avoid,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_skip_neglect,neglect,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_skip_neglect,ignore,0.5500,0.5750,8,0.0250
generations_all.prompts.full.label.d2c1570_skip_neglect,remove,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_skip_remove,skip,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_skip_remove,avoid,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_skip_remove,neglect,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_skip_remove,ignore,0.5500,0.3063,8,-0.2438
generations_all.prompts.full.label.d2c1570_skip_remove,remove,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_skip_skip,skip,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_skip_skip,avoid,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_skip_skip,neglect,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_skip_skip,ignore,0.5500,0.5812,8,0.0312
generations_all.prompts.full.label.d2c1570_skip_skip,remove,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_string_character,word,0.3929,0.2036,14,-0.1893
generations_all.prompts.full.label.d2c1570_string_character,phrase,0.5000,0.0000,1,-0.5000
generations_all.prompts.full.label.d2c1570_string_character,string,0.6103,0.5360,146,-0.0743
generations_all.prompts.full.label.d2c1570_string_character,character,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_string_character,set of characters,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_string_phrase,word,0.3929,0.2929,14,-0.1000
generations_all.prompts.full.label.d2c1570_string_phrase,phrase,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_string_phrase,string,0.6103,0.5688,146,-0.0414
generations_all.prompts.full.label.d2c1570_string_phrase,character,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_string_phrase,set of characters,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_string_set_of_characters,word,0.3929,0.3250,14,-0.0679
generations_all.prompts.full.label.d2c1570_string_set_of_characters,phrase,0.5000,0.0500,1,-0.4500
generations_all.prompts.full.label.d2c1570_string_set_of_characters,string,0.6103,0.4729,146,-0.1373
generations_all.prompts.full.label.d2c1570_string_set_of_characters,character,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_string_set_of_characters,set of characters,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_string_string,word,0.3929,0.3571,14,-0.0357
generations_all.prompts.full.label.d2c1570_string_string,phrase,0.5000,0.4500,1,-0.0500
generations_all.prompts.full.label.d2c1570_string_string,string,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_string_string,character,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_string_string,set of characters,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_string_word,word,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_string_word,phrase,0.5000,0.5000,1,0.0000
generations_all.prompts.full.label.d2c1570_string_word,string,0.6103,0.5740,146,-0.0363
generations_all.prompts.full.label.d2c1570_string_word,character,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_string_word,set of characters,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_take_accept,take,0.6222,0.6722,27,0.0500
generations_all.prompts.full.label.d2c1570_take_accept,bring in,0.0000,0.0000,1,0.0000
generations_all.prompts.full.label.d2c1570_take_accept,accept,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_take_accept,get,0.6312,0.6000,8,-0.0312
generations_all.prompts.full.label.d2c1570_take_accept,input,0.6000,0.5833,3,-0.0167
generations_all.prompts.full.label.d2c1570_take_bring_in,take,0.6222,0.6556,27,0.0333
generations_all.prompts.full.label.d2c1570_take_bring_in,bring in,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_take_bring_in,accept,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_take_bring_in,get,0.6312,0.5813,8,-0.0500
generations_all.prompts.full.label.d2c1570_take_bring_in,input,0.6000,0.6667,3,0.0667
generations_all.prompts.full.label.d2c1570_take_get,take,0.6222,0.6630,27,0.0407
generations_all.prompts.full.label.d2c1570_take_get,bring in,0.0000,0.0000,1,0.0000
generations_all.prompts.full.label.d2c1570_take_get,accept,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_take_get,get,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_take_get,input,0.6000,0.6167,3,0.0167
generations_all.prompts.full.label.d2c1570_take_input,take,0.6222,0.6778,27,0.0556
generations_all.prompts.full.label.d2c1570_take_input,bring in,0.0000,0.0000,1,0.0000
generations_all.prompts.full.label.d2c1570_take_input,accept,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_take_input,get,0.6312,0.6500,8,0.0188
generations_all.prompts.full.label.d2c1570_take_input,input,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_take_take,take,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_take_take,bring in,0.0000,0.0000,1,0.0000
generations_all.prompts.full.label.d2c1570_take_take,accept,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_take_take,get,0.6312,0.5812,8,-0.0500
generations_all.prompts.full.label.d2c1570_take_take,input,0.6000,0.7167,3,0.1167
generations_all.prompts.full.label.d2c1570_typecast_cast,typecast,0.0000,0.0000,1,0.0000
generations_all.prompts.full.label.d2c1570_typecast_cast,type cast,0.7500,0.6000,1,-0.1500
generations_all.prompts.full.label.d2c1570_typecast_cast,cast,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_typecast_cast,convert,0.6000,0.6833,6,0.0833
generations_all.prompts.full.label.d2c1570_typecast_cast,change,0.5000,0.4875,4,-0.0125
generations_all.prompts.full.label.d2c1570_typecast_change,typecast,0.0000,0.0000,1,0.0000
generations_all.prompts.full.label.d2c1570_typecast_change,type cast,0.7500,0.6000,1,-0.1500
generations_all.prompts.full.label.d2c1570_typecast_change,cast,1.0000,1.0000,1,0.0000
generations_all.prompts.full.label.d2c1570_typecast_change,convert,0.6000,0.7167,6,0.1167
generations_all.prompts.full.label.d2c1570_typecast_change,change,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_typecast_convert,typecast,0.0000,0.0000,1,0.0000
generations_all.prompts.full.label.d2c1570_typecast_convert,type cast,0.7500,0.3000,1,-0.4500
generations_all.prompts.full.label.d2c1570_typecast_convert,cast,1.0000,1.0000,1,0.0000
generations_all.prompts.full.label.d2c1570_typecast_convert,convert,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_typecast_convert,change,0.5000,0.5125,4,0.0125
generations_all.prompts.full.label.d2c1570_typecast_type_cast,typecast,0.0000,0.0000,1,0.0000
generations_all.prompts.full.label.d2c1570_typecast_type_cast,type cast,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_typecast_type_cast,cast,1.0000,1.0000,1,0.0000
generations_all.prompts.full.label.d2c1570_typecast_type_cast,convert,0.6000,0.7167,6,0.1167
generations_all.prompts.full.label.d2c1570_typecast_type_cast,change,0.5000,0.5000,4,0.0000
generations_all.prompts.full.label.d2c1570_typecast_typecast,typecast,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_typecast_typecast,type cast,0.7500,0.9000,1,0.1500
generations_all.prompts.full.label.d2c1570_typecast_typecast,cast,1.0000,1.0000,1,0.0000
generations_all.prompts.full.label.d2c1570_typecast_typecast,convert,0.6000,0.6833,6,0.0833
generations_all.prompts.full.label.d2c1570_typecast_typecast,change,0.5000,0.5125,4,0.0125